subject,type,super_subject
attorney general,primary,attorney general
attraction,primary,attraction
auction,primary,auction
auctioneer,primary,auctioneer
audio,primary,audio
audiotape,primary,audiotape
audit,primary,audit
auditorium,primary,auditorium
auditory system,primary,auditory system
augite,primary,augite
augmentation,primary,augmentation
auk,primary,auk
aunt,primary,aunt
aura,primary,aura
auricle,primary,auricle
auricula,primary,auricula
aurora borealis,primary,aurora borealis
auspice,primary,auspice
australian state,primary,australian state
australian terrier,primary,australian terrier
authority,primary,authority
autism,primary,autism
autobiography,primary,autobiography
autoclave,primary,autoclave
autograph,primary,autograph
autoimmunity,primary,autoimmunity
automaker,primary,automaker
automatic rifle,primary,automatic rifle
automation,primary,automation
automobile industry,primary,automobile industry
automobile mechanic,primary,automobile mechanic
automotive engineer,primary,automotive engineer
autonomic nervous system,primary,autonomic nervous system
autonomy,primary,autonomy
autopsy,primary,autopsy
autumnal equinox,primary,autumnal equinox
avalanche,primary,avalanche
avant garde,primary,avant garde
avarice,primary,avarice
avenger,primary,avenger
avenue,primary,avenue
average,primary,average
aviator,primary,aviator
aviatrix,primary,aviatrix
avitaminosis,primary,avitaminosis
avocado,primary,avocado
avocation,primary,avocation
avocet,primary,avocet
avoirdupois unit,primary,avoirdupois unit
avowal,primary,avowal
award,primary,award
awareness,primary,awareness
awkwardness,primary,awkwardness
awl,primary,awl
ax,primary,ax
axillary artery,primary,axillary artery
axillary vein,primary,axillary vein
axle,primary,axle
axletree,primary,axletree
axolemma,primary,axolemma
axolotl,primary,axolotl
axon,primary,axon
ayatollah,primary,ayatollah
azadirachtin,primary,azadirachtin
azalea,primary,azalea
aztreonam,primary,aztreonam
azure,primary,azure
azurite,primary,azurite
babble,primary,babble
babka,primary,babka
baboon,primary,baboon
baby,primary,baby
baby oil,primary,baby oil
baby powder,primary,baby powder
babysitter,primary,babysitter
babysitting,primary,babysitting
bacillus,primary,bacillus
bacillus anthracis,primary,bacillus anthracis
bacillus subtilis,primary,bacillus subtilis
backboard,primary,backboard
backbone,primary,backbone
backdoor,primary,backdoor
backgammon,primary,backgammon
backgammon board,primary,backgammon board
background,primary,background
backhand,primary,backhand
backhoe,primary,backhoe
backing,primary,backing
backpack,primary,backpack
backscratcher,primary,backscratcher
backsliding,primary,backsliding
backstay,primary,backstay
backstroke,primary,backstroke
backyard,primary,backyard
bacon,primary,bacon
bacteremia,primary,bacteremia
bacteria,primary,bacteria
bacteriochlorophyll,primary,bacteriochlorophyll
bacteriologist,primary,bacteriologist
bad,primary,bad
bad weather,primary,bad weather
badge,primary,badge
badger,primary,badger
badgering,primary,badgering
badminton,primary,badminton
badness,primary,badness
bag,primary,bag
bagatelle,primary,bagatelle
bagel,primary,bagel
baggage,primary,baggage
bagpipe,primary,bagpipe
baguette,primary,baguette
bail,primary,bail
bailey bridge,primary,bailey bridge
bailiff,primary,bailiff
bailment,primary,bailment
bait,primary,bait
baked alaska,primary,baked alaska
baker,primary,baker
bakery,primary,bakery
baking,primary,baking
baking powder,primary,baking powder
baking soda,primary,baking soda
balalaika,primary,balalaika
balance sheet,primary,balance sheet
balata,primary,balata
balbriggan,primary,balbriggan
balcony,primary,balcony
bale,primary,bale
ball,primary,ball
ball bearing,primary,ball bearing
ball gown,primary,ball gown
ballad,primary,ballad
ballerina,primary,ballerina
ballet,primary,ballet
ballistic missile,primary,ballistic missile
balloon,primary,balloon
ballooning,primary,ballooning
ballot box,primary,ballot box
ballplayer,primary,ballplayer
ballroom,primary,ballroom
ballyhoo,primary,ballyhoo
balsa,primary,balsa
balsam,primary,balsam
bamboo,primary,bamboo
ban,primary,ban
banana,primary,banana
banana bread,primary,banana bread
banana peel,primary,banana peel
banana republic,primary,banana republic
banana split,primary,banana split
band aid,primary,band aid
bandage,primary,bandage
banded palm civet,primary,banded palm civet
bandicoot,primary,bandicoot
bandit,primary,bandit
bandsaw,primary,bandsaw
bane,primary,bane
baneberry,primary,baneberry
bang,primary,bang
banishment,primary,banishment
banjo,primary,banjo
bank,primary,bank
bank account,primary,bank account
bank identification number,primary,bank identification number
bank statement,primary,bank statement
banker,primary,banker
banking,primary,banking
banking industry,primary,banking industry
bankruptcy,primary,bankruptcy
bannister,primary,bannister
banquet,primary,banquet
banshee,primary,banshee
banyan tree,primary,banyan tree
baptism,primary,baptism
bar,primary,bar
barbados gooseberry,primary,barbados gooseberry
barbecue,primary,barbecue
barbecue sauce,primary,barbecue sauce
barbed wire,primary,barbed wire
barber,primary,barber
barbershop,primary,barbershop
barbershop quartet,primary,barbershop quartet
barbital,primary,barbital
barbiturate,primary,barbiturate
bargain,primary,bargain
bargaining,primary,bargaining
barge,primary,barge
baritone,primary,baritone
barium hydroxide,primary,barium hydroxide
barium sulfate,primary,barium sulfate
bark,primary,bark
bark beetle,primary,bark beetle
barley,primary,barley
barmaid,primary,barmaid
barn,primary,barn
barnacle,primary,barnacle
barometer,primary,barometer
baron,primary,baron
baroness,primary,baroness
baronet,primary,baronet
barong,primary,barong
baroque,primary,baroque
barracuda,primary,barracuda
barrage,primary,barrage
barrel,primary,barrel
barren ground caribou,primary,barren ground caribou
barrette,primary,barrette
barrier,primary,barrier
barrister,primary,barrister
barrow,primary,barrow
bartender,primary,bartender
barter,primary,barter
baryon,primary,baryon
basalt,primary,basalt
base,primary,base
baseball,primary,baseball
baseball bat,primary,baseball bat
baseball cap,primary,baseball cap
baseball glove,primary,baseball glove
baseball team,primary,baseball team
basement,primary,basement
basenji,primary,basenji
bash,primary,bash
basic,primary,basic
basidiocarp,primary,basidiocarp
basil,primary,basil
basilic vein,primary,basilic vein
basilisk,primary,basilisk
basin,primary,basin
basis,primary,basis
basket,primary,basket
basketball,primary,basketball
basketball court,primary,basketball court
basketball league,primary,basketball league
basketball player,primary,basketball player
basketball team,primary,basketball team
basophil,primary,basophil
bass,primary,bass
basset hound,primary,basset hound
bassinet,primary,bassinet
bassist,primary,bassist
bassoon,primary,bassoon
bassoonist,primary,bassoonist
baster,primary,baster
bastille,primary,bastille
bastion,primary,bastion
bat,primary,bat
bat boy,primary,bat boy
batch,primary,batch
bath,primary,bath
bath oil,primary,bath oil
bathe,primary,bathe
batik,primary,batik
batman,primary,batman
battalion,primary,battalion
batter,primary,batter
battering,primary,battering
batting,primary,batting
battle,primary,battle
battle cruiser,primary,battle cruiser
battlefield,primary,battlefield
battlement,primary,battlement
battleship,primary,battleship
bavarian cream,primary,bavarian cream
bay laurel,primary,bay laurel
bay leaf,primary,bay leaf
baya,primary,baya
bazaar,primary,bazaar
bazooka,primary,bazooka
bbs,primary,bbs
beach,primary,beach
beach ball,primary,beach ball
beacon,primary,beacon
bead,primary,bead
beagle,primary,beagle
beak,primary,beak
beaker,primary,beaker
beam,primary,beam
beanbag,primary,beanbag
bear,primary,bear
bear claw,primary,bear claw
beard,primary,beard
bearded seal,primary,bearded seal
bearing,primary,bearing
beast,primary,beast
beater,primary,beater
beating,primary,beating
beaufort scale,primary,beaufort scale
beautician,primary,beautician
beaver,primary,beaver
beck,primary,beck
bed,primary,bed
bed bug,primary,bed bug
bedding,primary,bedding
bedlington terrier,primary,bedlington terrier
bedroom,primary,bedroom
bedspread,primary,bedspread
bedtime,primary,bedtime
bee,primary,bee
bee eater,primary,bee eater
bee sting,primary,bee sting
beech,primary,beech
beekeeper,primary,beekeeper
beep,primary,beep
beeper,primary,beeper
beer,primary,beer
beeswax,primary,beeswax
beet,primary,beet
beetle,primary,beetle
beggar,primary,beggar
beginning,primary,beginning
begonia,primary,begonia
beguilement,primary,beguilement
beguine,primary,beguine
behavior,primary,behavior
beige,primary,beige
belch,primary,belch
belgian sheepdog,primary,belgian sheepdog
believer,primary,believer
bell tower,primary,bell tower
belladonna,primary,belladonna
bellboy,primary,bellboy
bellow,primary,bellow
bellwether,primary,bellwether
belly laugh,primary,belly laugh
beloved,primary,beloved
belt buckle,primary,belt buckle
beltway,primary,beltway
beluga,primary,beluga
ben,primary,ben
benchmark,primary,benchmark
benefit,primary,benefit
benevolence,primary,benevolence
bent,primary,bent
benzene,primary,benzene
benzocaine,primary,benzocaine
benzodiazepine,primary,benzodiazepine
benzoic acid,primary,benzoic acid
benzoin,primary,benzoin
benzoyl peroxide,primary,benzoyl peroxide
bequest,primary,bequest
beret,primary,beret
berkelium,primary,berkelium
berlin,primary,berlin
bernese mountain dog,primary,bernese mountain dog
berry,primary,berry
berserker,primary,berserker
beryl,primary,beryl
beryllium,primary,beryllium
best,primary,best
bestiality,primary,bestiality
beta,primary,beta
beth,primary,beth
betrothal,primary,betrothal
bettor,primary,bettor
bevel,primary,bevel
bias,primary,bias
bib,primary,bib
bible,primary,bible
bicker,primary,bicker
bicycle,primary,bicycle
bicycle pump,primary,bicycle pump
bicycle race,primary,bicycle race
bicycle seat,primary,bicycle seat
bicycling,primary,bicycling
bidder,primary,bidder
bidding,primary,bidding
bidet,primary,bidet
bifurcation,primary,bifurcation
big bang theory,primary,big bang theory
big brother,primary,big brother
big brown bat,primary,big brown bat
big cat,primary,big cat
big spender,primary,big spender
bighorn sheep,primary,bighorn sheep
bight,primary,bight
bigotry,primary,bigotry
bigram,primary,bigram
bikini,primary,bikini
bilberry,primary,bilberry
bile,primary,bile
bilge,primary,bilge
bilirubin,primary,bilirubin
bill,primary,bill
billabong,primary,billabong
billboard,primary,billboard
billiards,primary,billiards
billionaire,primary,billionaire
billow,primary,billow
billy,primary,billy
bin laden,primary,bin laden
bind,primary,bind
binder,primary,binder
binoculars,primary,binoculars
binomial,primary,binomial
binturong,primary,binturong
biochemist,primary,biochemist
biodiversity,primary,biodiversity
biographer,primary,biographer
biography,primary,biography
biological agent,primary,biological agent
biological warfare,primary,biological warfare
biologist,primary,biologist
biology,primary,biology
bioluminescence,primary,bioluminescence
biome,primary,biome
biopsy,primary,biopsy
biosphere,primary,biosphere
biotechnology,primary,biotechnology
biotite,primary,biotite
bioweapon,primary,bioweapon
biped,primary,biped
bipolar disorder,primary,bipolar disorder
birch,primary,birch
bird,primary,bird
birdcall,primary,birdcall
birdhouse,primary,birdhouse
birth,primary,birth
birth control,primary,birth control
birthday,primary,birthday
birthday cake,primary,birthday cake
birthday card,primary,birthday card
birthday gift,primary,birthday gift
